,name,id,user_id,user_name,game_id,type,title,viewer_count,started_at,language,thumbnail_url,tag_ids
0,Squeezielive,,,,,,,,,,,
1,Gotaga,,,,,,,,,,,
2,Domingo,,,,,,,,,,,
3,TheKAIRI78,,,,,,,,,,,
4,WankilStudio,,,,,,,,,,,
5,Joueur_du_Grenier,,,,,,,,,,,
6,Sardoche,,,,,,,,,,,
7,JLTomy,,,,,,,,,,,
8,ZeratoR,,,,,,,,,,,
9,EsportZoneLiveTV,,,,,,,,,,,
10,mistermv,,,,,,,,,,,
11,Locklear,,,,,,,,,,,
12,Xari,,,,,,,,,,,
13,FortniteFR,,,,,,,,,,,
14,lestream, 313720849, 147337432, lestream, 417752, live," ""GAMING TIME LULTIME SEMAINE | LESTREAM.FR""", 1005, 2019-12-16T05 28 56Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_lestream-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
15,Cyprienlive,,,,,,,,,,,
16,StreamBox,,,,,,,,,,,
17,Laink,,,,,,,,,,,
18,BruceGrannec,,,,,,,,,,,
19,FuzeIII,,,,,,,,,,,
20,Terracid,,,,,,,,,,,
21,CYRILmp4,,,,,,,,,,,
22,Solary, 313882257, 174955366, Solary, 21779, live, MANATY RUSH MASSIF D4 ON RUSH LE MASTER GOGOGO, 1376, 2019-12-16T08 23 48Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_solary-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
23,SolaryFortnite, 313886049, 198506129, SolaryFortnite, 33214, live, mzQQQ - INCROYABLE STAR WARS BATTLE ROYAL, 562, 2019-12-16T08 26 31Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_solaryfortnite-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
24,Jirayalecochon,,,,,,,,,,,
25,iProMx,,,,,,,,,,,
26,LeFrenchRestream,,,,,,,,,,,
27,Anas_Off,,,,,,,,,,,
28,brusselschallenge,,,,,,,,,,,
29,PlayHearthstoneFR,,,,,,,,,,,
30,RocKy_,,,,,,,,,,,
31,YoMax,,,,,,,,,,,
32,FantaBobShow,,,,,,,,,,,
33,RebeuDeter,,,,,,,,,,,
34,robert87000,,,,,,,,,,,
35,Kamet0,,,,,,,,,,,
36,dreamhackcsgo_fr,,,,,,,,,,,
37,AlphaCast,,,,,,,,,,,
38,Doigby,,,,,,,,,,,
39,JulienChieze,,,,,,,,,,,
40,LyoneSportTV,,,,,,,,,,,
41,michou_twitch,,,,,,,,,,,
42,Pauleta_Youtubeur,,,,,,,,,,,
43,Alderiate, 313826385, 77452537, Alderiate, 29307, live, MSC - Merci Monsieur, 1302, 2019-12-16T07 39 04Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_alderiate-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648 b157e8d6-b7ba-49f4-836f-09886c072f1f
44,Mushway,,,,,,,,,,,
45,AntoineDanielLive,,,,,,,,,,,
46,SolaryHS, 313783569, 416031592, SolaryHS, 138585, live," ""FR Tars   ANKAss la méta""", 1770, 2019-12-16T06 55 41Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_solaryhs-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
47,Shaunz,,,,,,,,,,,
48,shoxieJESUSS,,,,,,,,,,,
49,Liberto,,,,,,,,,,,
50,XEWER,,,,,,,,,,,
51,WarcraftFR,,,,,,,,,,,
52,lequipefr,,,,,,,,,,,
53,LeBouseuh,,,,,,,,,,,
54,JeelTV, 313784353, 114119743, JeelTV, 509658, live, FR OUI BONJOUR, 1334, 2019-12-16T06 56 41Z, fr, https //static-cdn.jtvnw.net/previews-ttv/live_user_jeeltv-widthxheight.jpg, 6f655045-9989-4ef7-8f85-1edcec42d648
55,1PVCS,,,,,,,,,,,
56,PrimeTimeFut,,,,,,,,,,,
57,MasterSnakou,,,,,,,,,,,
58,Corobizar,,,,,,,,,,,
59,lyonesportFT,,,,,,,,,,,
60,Crocodyle_lol,,,,,,,,,,,
61,Mickalow,,,,,,,,,,,
62,At0mium,,,,,,,,,,,
63,Rainbow6FR,,,,,,,,,,,
64,Maghla,,,,,,,,,,,
65,TwitchFR,,,,,,,,,,,
66,Oliechhs,,,,,,,,,,,
67,Bennnzz,,,,,,,,,,,
68,Mastu,,,,,,,,,,,
